STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml)
ANDHRA PRADESH,33,7.1,7.6,406,3,15.8,NAN
ANDHRA PRADESH,25.9,5.5,7.6,569,1.3,0.9,18
ANDHRA PRADESH,26.5,5.4,7.8,310,0.8,2.4,7
ANDHRA PRADESH,18.9,7.1,7.8,516,0.7,0.5,2
ANDHRA PRADESH,20.5,6.9,8,505,0.9,0.7,2
ANDHRA PRADESH,27,6,7.3,432,1.2,3,3
ANDHRA PRADESH,26.8,6.1,7.7,328,1.2,1,3
ANDHRA PRADESH,19,5.8,7.8,707,0.6,0.85,2
ANDHRA PRADESH,21.4,6.1,8,674,0.9,1,2
ANDHRA PRADESH,27,6,7.6,429,1.1,1.1,3
ANDHRA PRADESH,27,6,7.8,308,1.1,1.47,3
ANDHRA PRADESH,20,5.8,7.4,505,0.6,0.73,4
ANDHRA PRADESH,24,6.1,7.5,465,0.5,0.34,4
ANDHRA PRADESH,27.6,6.2,7.5,371,1.1,1.62,3
ANDHRA PRADESH,27.6,6.2,7.7,316,1.3,2.41,3
ANDHRA PRADESH,28,7,7.5,226,1.1,2.3,3
ANDHRA PRADESH,33,7.7,7.8,220,4,11,NAN
ANDHRA PRADESH,33,6.8,7.4,309,7,15.3,NAN
ANDHRA PRADESH,28,6.5,7.9,566,0.9,3.8,3
ARUNACHAL PRADESH,25,7.2,7.8,262,0.28,0.15,19
ARUNACHAL PRADESH,25,4.9,7.4,10362,9.7,0.64,14
ARUNACHAL PRADESH,27,5.1,7.8,530,2.73,0.6,64125
ARUNACHAL PRADESH,28,6,8.2,612,2.28,0.4,28650
ARUNACHAL PRADESH,30,6.1,8.1,8782,1.9,0.43,16100
ARUNACHAL PRADESH,27,1.1,7.8,1076,7.67,0.63,28
ARUNACHAL PRADESH,29,6.8,8,3431,2.8,0.3,32120
ARUNACHAL PRADESH,25,4.5,7.6,1161,7.43,0.53,99
ARUNACHAL PRADESH,25,6,7.3,8838,5.58,0.7,14
ARUNACHAL PRADESH,30,0,7.1,3080,46,4.8,3000
ARUNACHAL PRADESH,28,2.8,7.9,663,5.93,0.97,150250
ARUNACHAL PRADESH,29,5.6,8,1265,2.13,0.1,503
ARUNACHAL PRADESH,28,4.1,7.9,4491,16.5,0.1,58
ARUNACHAL PRADESH,29,6.3,7.9,43983,1.83,1.22,105
ARUNACHAL PRADESH,30,6.6,7.8,37,2.25,0.01,10
ARUNACHAL PRADESH,28,6.8,7.1,11,1.65,0.07,22
ARUNACHAL PRADESH,27,6.5,7.5,28,4.55,0.05,20
ARUNACHAL PRADESH,28,7.1,8,49,1.25,0.02,3
ARUNACHAL PRADESH,26,7.6,7.3,93,0.95,0.03,240
ARUNACHAL PRADESH,26,7.4,7,67,2.45,0.13,467
ARUNACHAL PRADESH,27,7,7.3,89,1.5,0.02,30
ARUNACHAL PRADESH,29,5.4,7.3,75,1.8,0.06,350
ARUNACHAL PRADESH,28,6.7,7.2,95,1.4,0.1,18
ARUNACHAL PRADESH,28,6.8,6.9,58,1.9,0.03,25
ARUNACHAL PRADESH,25,5.6,6.8,67,1.9,0.06,82
ARUNACHAL PRADESH,28,5.2,7.2,29,1.65,0.04,37
ARUNACHAL PRADESH,26,6.2,7.1,146,2.1,0.09,920
ARUNACHAL PRADESH,31,3.6,7,29,2,0.09,33
ARUNACHAL PRADESH,30,6.8,7.2,1370,2.6,0.08,33
ARUNACHAL PRADESH,28,8.1,7.1,335,3.2,0.21,1300
ASSAM,26,6.3,7.6,119,3.67,0.37,157
ASSAM,27,6.4,7.6,109,3.4,0.42,95
ASSAM,27,5.9,7.2,119,4.04,0.65,133
ASSAM,25,5.3,7.7,109,3.25,0.38,165
ASSAM,26,6,7.8,301,5.43,0.3,166
ASSAM,22,6.6,7.2,131,4.5,0.83,285
ASSAM,22,6.8,7.2,110,3.9,0.49,480
ASSAM,27,6.7,7.6,109,4.13,0.28,260
ASSAM,29,5.2,7,478,16.3,0.35,500
ASSAM,21,6.9,6.6,291,1.96,1.4,4
ASSAM,32,0.7,7.3,12697,45.6,1.32,642
ASSAM,23,6.8,6.6,6232,2.13,2.72,6
ASSAM,29,6.2,6.5,1638,1.5,0.8,349
ASSAM,28,7.3,6.6,36,0.6,0.41,304
ASSAM,28,6.4,6.7,41,1,0.75,443
ASSAM,28,5.1,6.8,52,1.6,0.22,555
ASSAM,28,6.8,6.7,183,1.3,0.28,358
ASSAM,27,6.3,6.3,115,0.9,0.5,455
ASSAM,28,7.2,6.7,455,1.1,0.28,245
ASSAM,27,6.8,6.9,80,0.4,0.52,207
ASSAM,27,6.8,7,4515,0.4,1.53,184
ASSAM,29,7.7,7.2,47,1,2,253
ASSAM,29,7.1,6.8,57,1.5,1.12,230
ASSAM,29,6.6,6.3,148,1.2,0.93,190
ASSAM,26,1.8,6.8,2012,5.5,1.8,20458
ASSAM,26,6.7,6.2,40,0.6,1,425
BIHAR,26,5.8,6.3,65,1.1,2.97,525
BIHAR,26,5.1,6.3,50,1,3.1,700
BIHAR,26,6.6,6.2,42,0.6,1.97,475
BIHAR,27,6.6,6.4,43,0.7,3.13,400
BIHAR,27,6.7,6.4,50,0.5,3.6,500
BIHAR,26,6.6,6.3,46,0.6,1.07,624
BIHAR,27,5.9,6.4,54,0.7,3.53,375
BIHAR,27,7.6,6.7,55,0.7,4.17,295
BIHAR,27,6.5,6.7,72,0.8,2.83,30
BIHAR,29,7.3,7.4,71,0.7,4.1,490
BIHAR,27,6.3,6.7,79,0.7,2.03,190
BIHAR,26,6.9,6.6,33,0.4,1.4,0
BIHAR,27,6.8,6.7,46,0.4,1.47,30
BIHAR,29,5.9,7.1,6666,0.7,4.13,118
BIHAR,28,6.4,7.1,17771,1,5.2,760
BIHAR,28,7.3,6.7,62,0.9,2.8,293
BIHAR,28,7.6,6.6,61,0.5,3.4,85
BIHAR,30,2.4,6.7,221,2.1,3.97,220
BIHAR,27,7.1,6.8,89,1.2,0.4,620
BIHAR,27,6.4,6.7,110,0.5,0.2,1400
BIHAR,27,3.5,6.9,105,0.7,0.15,265
BIHAR,28,7.4,7.3,155,0.8,1.2,570
BIHAR,28,6.8,6.9,77,0.9,1.8,215
BIHAR,27,5.5,6.5,75,1.9,0.1,1300
BIHAR,31,5.4,6.5,102,4,0.1,320
BIHAR,30,4.8,6.8,90,1.1,0.1,730
BIHAR,28,5.8,6.3,87,0.7,0.1,633
BIHAR,27,7.3,6.6,57,0.4,0.25,297
BIHAR,28,5.8,7.5,18291,0.8,0.25,435
BIHAR,28,6.2,6.7,2497,0.5,0.15,510
BIHAR,27,7.3,6.1,45,0.7,0.2,150
BIHAR,27,7.6,6.3,39,0.5,0.2,1040
BIHAR,25,7.7,6.6,31,0.3,0.15,490
BIHAR,28,5.4,5.9,595,0.8,0.1,570
BIHAR,28,7.4,6.1,30,0.9,0.3,690
BIHAR,28,6.6,5.9,37,0.7,0.1,540
CHANDIGARH,28,6.5,6.5,1135,0.7,0.25,850
CHANDIGARH,27,7.2,5.9,39,0.8,0.55,440
CHANDIGARH,29,6.3,6.5,925,1.1,0.3,830
CHANDIGARH,27,7.6,6.6,50,0.6,0.25,1660
CHANDIGARH,27,7.3,6.5,64,1.4,0.5,1280
CHANDIGARH,27,7.5,7,74,0.8,0.1,1400
CHANDIGARH,26,4.4,7.3,428,0.4,0.15,285
CHANDIGARH,27,6.8,7,169,0.4,0.25,255
CHANDIGARH,29,1.7,6.2,181,3,0.45,672
CHANDIGARH,29,3,6.1,80,2,0.13,268
CHANDIGARH,28,6.9,7.8,469,0.89,0.86,152
CHANDIGARH,32,7.7,8.1,266,1.83,1.01,1950
CHANDIGARH,32,6.8,7.8,16468,1.65,2,440
CHANDIGARH,28,7.5,8.2,233,2.5,0.89,2600
CHANDIGARH,26,7.6,8.1,233,1.35,1.43,2025
CHANDIGARH,26,7,7.6,593,0.25,1.95,NAN
CHANDIGARH,25,7.6,6.6,118,1.15,0.15,70
CHANDIGARH,27,6.8,6.6,179,1.88,0.2,118
CHANDIGARH,28,6.8,6.7,172,2.14,0.19,263
CHANDIGARH,28,6.9,7.1,260,1.78,0.13,110
CHANDIGARH,27,7.3,6.6,94,1.27,0.17,73
CHANDIGARH,26,7.4,6.7,88,1.03,0.15,89
CHANDIGARH,28,7.2,7.2,439,2.28,0.14,236
CHANDIGARH,27,6.8,7.6,749,2.25,0.36,424
CHANDIGARH,26,6.9,7.3,252,4.33,1,322
CHHATTISGARH,29,7,7.3,46,1,NAN,49
CHHATTISGARH,31,7,7.3,40,1,NAN,12
CHHATTISGARH,30,7.7,8.1,195,1.1,0.7,0
CHHATTISGARH,23,8,8.2,572,0.5,NAN,12
CHHATTISGARH,24,3.8,7.8,1424,155.6,0.66,NAN
CHHATTISGARH,23,4.9,7.8,704,3.5,NAN,57
CHHATTISGARH,20,5.9,7.2,703,5.4,2.05,1950
CHHATTISGARH,21,5.3,7.4,1095,27,3.35,48000
CHHATTISGARH,30,6.7,6.9,1094,17.1,19.4,NAN
CHHATTISGARH,30,6.2,7,1312,22.3,17.7,NAN
CHHATTISGARH,21,5.7,7.3,732,10.7,2.4,5450
CHHATTISGARH,21,5,7.2,983,26.1,3.05,32250
CHHATTISGARH,20,5,7.3,748,7.4,2.65,12500
CHHATTISGARH,20,5.1,7.2,760,13.5,2.55,22000
CHHATTISGARH,21,4.5,7.2,856,23.8,3.45,34000
CHHATTISGARH,21,4.4,7.2,1184,18.1,3.75,17250
CHHATTISGARH,20,4.5,7.4,1186,22.7,3.07,13000
CHHATTISGARH,21,5.2,7.5,1036,28.5,3.55,28750
CHHATTISGARH,21,5.5,7.6,973,27.8,3.33,130500
CHHATTISGARH,21,5.6,7.6,951,25.8,3.23,22500
CHHATTISGARH,25,6.4,7.9,378,4.1,0.94,NAN
CHHATTISGARH,31,6.8,7,970,25.3,20.2,NAN
CHHATTISGARH,21,5.4,7.8,438,1.7,0.41,3
CHHATTISGARH,27,7.9,6.7,120,1.2,NAN,NAN
CHHATTISGARH,26,6.2,7.3,135,1.8,NAN,NAN
CHHATTISGARH,27,8.2,7.6,176,1.9,NAN,NAN
CHHATTISGARH,28,6.6,7.4,112,1.2,NAN,NAN
DADRA NAGAR HAVELI,27,4.2,7.9,4909,18,7,NAN
DADRA NAGAR HAVELI,28.1,4.6,8,23576,158.8,6.88,35
DADRA NAGAR HAVELI,29.1,4.8,7.8,65700,164,3.42,NAN
DADRA NAGAR HAVELI,27.7,6.7,8.5,235,NAN,3.1,NAN
DADRA NAGAR HAVELI,27.1,6.7,8.3,262,NAN,NAN,NAN
DADRA NAGAR HAVELI,27.1,6.8,7.8,227,NAN,NAN,NAN
DADRA NAGAR HAVELI,27.3,6.8,8.5,249,NAN,0.11,NAN
DADRA NAGAR HAVELI,27,4.2,8.2,2754,42,NAN,NAN
DAMAN & DIU,30.6,6.7,7.5,203,NAN,0.1,11
DAMAN & DIU,NAN,NAN,0,208,NAN,NAN,NAN
DAMAN & DIU,31,7.1,7.8,151,8,0.08, 
DAMAN & DIU,29.1,6.7,7.7,218,5,1.31,NAN
DAMAN & DIU,29.9,5.6,7.5,15608,25,18.73,5
DAMAN & DIU,29.9,3.7,7.5,39503,13.5,25.71,NAN
DAMAN & DIU,29.8,4.7,7.6,46170,21.5,19.69,NAN
DAMAN & DIU,30.2,5.8,7.8,378,NAN,2.61,NAN
DAMAN & DIU,29.7,6.6,7.7,489,NAN,2.66,350
DAMAN & DIU,30.1,6.6,7.4,492,NAN,3.6,NAN
DAMAN & DIU,30.3,6.2,7.8,359,NAN,3.67,4
DAMAN & DIU,29.8,5.8,7.7,8757,NAN,10.45,4
DAMAN & DIU,30,6.1,7.3,11855,12.5,18.6,180
DAMAN & DIU,30,6.3,7.4,24506,136,16.9,158
DAMAN & DIU,30,5.9,7.5,25343,56.5,7.7,180
DAMAN & DIU,30,6.6,7.8,371,NAN,4.1,180
DAMAN & DIU,30,6.2,7.4,368,8,3.2,265
DAMAN & DIU,30,6.7,7.7,354,4,2.6,137
DAMAN & DIU,33,6.8,8,374,21,1.5,180
DAMAN & DIU,30,5.9,7.4,7173,12,58.1,7
DAMAN & DIU,28,7.3,7.4,332,0.7,0.3,6
GOA,29.8,5.7,7.2,189,2,0.2,4953
GOA,29.5,6.3,6.9,179,1.7,0.1,3243
GOA,29.7,5.8,6.9,64,3.8,0.5,5382
GOA,29.5,5.8,7.3,83,1.9,0.4,3428
GOA,30,5.5,7.4,81,1.5,0.1,2853
GOA,29.2,6.1,6.7,308,1.4,0.3,3355
GOA,29.6,6.4,6.7,414,1,0.2,6073
GOA,30,6.4,7.6,305,2.2,0.1,3478
GOA,30.1,6.3,7.6,77,2.3,0.1,2606
GOA,27.8,7.1,7.1,176,1.2,0.1,4573
GOA,27.9,6.7,6.4,93,1.4,0.1,2147
GOA,29.3,7.4,6.8,121,1.7,0.4,11633
GOA,29.2,6.9,7,620,1.1,0.1,3500
GOA,30,6,7.5,72,1.6,0.2,4995
GOA,29,7.3,7,247,1.5,0.2,1095
GOA,29.1,7.3,7,188,1,0.1,1286
GOA,28.7,7,6.9,224,1.2,0.3,3896
GOA,28.7,7.3,6.7,144,1.5,0.1,1940
GOA,29.5,5.3,6.8,319,1.8,0.3,6458
GOA,29,6.3,6.4,79,1.6,1.4,7592
GOA,29.4,5.4,7.6,39,1.4,0.1,3176
GOA,28.3,2.2,6.5,322,4.7,1.2,11210
GOA,30.1,5.2,7.1,192,2.6,0.3,5073
GOA,30.3,5.6,7.5,282,1.8,0.1,3205
GOA,30.5,5.5,7.4,275,1.5,0.1,4698
GOA,29.1,7.3,6.7,55,1.4,0.1,2638
GOA,30.1,6.5,7.5,415,2,0.1,864
GOA,29.2,7.2,6.3,100,1.5,0.1,7942
GOA,30,5.6,7.5,41,2,0.08,7022
GOA,30.4,5.5,6.7,209,0.8,0.17,1893
GOA,30.8,5.5,7.1,123,1.5,0.09,3293
GOA,30.3,5.3,7.3,182,1.5,0.08,1976
GOA,30.1,6,7.6,100,1.2,0.17,5129
GOA,29.9,5.7,6.9,111,1,0.14,939
GOA,29.1,6.4,7.1,140,1.1,0.1,4464
GOA,29.9,6.2,7.8,44,2,0.06,9429
GOA,29.8,6.1,7.6,43,1.8,0.06,6668
GOA,27.9,7,6.9,64,1.1,0.09,1641
GOA,28.2,6.6,6.5,62,1,0.14,4073
GOA,29.6,7,6.8,304,2,0.49,12140
GOA,28.8,7,7,55,1.2,0.66,1298
GOA,29.5,6.3,7.6,213,1.5,0.06,3803
GOA,29.8,6.7,6.8,83,1.2,0.17,2140
GOA,29.7,7.1,6.6,76,1,0.12,2367
GOA,28.7,6.7,6.6,107,1.3,0.22,2461
GOA,27.9,7.2,6.7,89,0.9,0.06,832
GOA,29.3,4.2,6.7,192,2,0.16,4448
GOA,28.6,6.3,6.6,79,1.6,0.19,2830
GOA,29.8,5.6,7.7,142,1.7,0.14,1831
GOA,28.6,2.8,6.4,424,3.2,0.35,12658
GOA,30.6,5.2,7.1,306,2.6,0.34,1411
GOA,30.3,5.6,7.7,40,1.5,0.07,4153
GOA,30.4,5.5,7.7,40,1.5,0.08,7086
GOA,29.6,6.9,6.7,63,0.9,0.21,691
GOA,29.6,6.3,7.6,227,1.7,0.08,3622
GOA,29.5,7.1,6.6,68,1.1,0.13,4124
GOA,31,5.9,7.2,52,2.1,0.08, 
GOA,30,6.1,6.8,408,1.3,0.17,1300
GOA,30,5.5,6.9,143,1.3,0.09,4100
GOA,29,5.4,7.2,60,1.5,0.08,428
GOA,29,5.8,7.2,34,5.3,0.17,855
GOA,29,5.9,6.7,125,1.5,0.14,1638
GOA,28,6.4,6.7,175,1.3,0.1,772
GOA,30,6.2,7.7,39,1.3,0.06,1296
GOA,30,6.1,7.8,39,1.5,0.06,1032
GOA,27,7.3,6.9,61,0.7,0.09,1430
GOA,28,6.8,6.6,71,1.5,0.14,2495
GOA,29,7.4,6.5,129,2.3,0.49,5868
GOA,28,7,6.8,503,1.6,0.66,965
GOA,29,6.3,7.5,31,1.6,0.06,1466
GOA,29,7.1,6.8,70,0.8,0.17,716
GOA,30,7.3,6.8,69,1.2,0.12,457
GOA,28,6.7,6.6,118,1,0.22,1104
GOA,28,7.4,6.8,80,1.3,0.06,274
GOA,29,4.5,6.6,250,2.4,0.16,1572
GOA,28,6.1,6.9,74,1.8,0.19,1074
GOA,30,5.9,7.3,44,1.6,0.14,962
GOA,30,2.4,6.5,195,4.8,0.35,7980
GOA,31,4,6.8,207,1.8,0.34,818
GOA,29,5.4,7.6,40,1.6,0.07,290
GOA,30,5.3,7.6,41,1.4,0.08,952
GOA,29,7,6.9,54,0.8,0.21,667
GOA,29,5.9,7.7,44,2.1,0.08,1200
GOA,29,7.1,6.5,60,1.7,0.13,2926
GOA,28.7,6.8,6.5,43,1.1,0.42,8
GOA,29.3,6.6,7,59,1.1,0.27,8
GOA,28.8,6,6.2,106,1.5,0.28,9
GOA,28.3,5.9,6.6,516,1.1,0.18,8
GOA,25.8,7.3,6.1,87,0.9,0.33,6
GOA,28.3,7.3,5.9,74,1.5,0.22,8
GOA,27.8,6.7,6.3,127,2,0.44,10
GOA,26,6.8,6.2,226,1.6,0.18,9
GOA,27.8,7.1,5.9,93,1.8,0.28,9
GOA,26.3,7.4,6.2,76,1.3,0.41,11
GOA,25.7,7.3,6.2,113,1.2,0.33,9
GOA,29,7.3,5.9,100,1.3,0.27,6
GOA,26.9,6,5.9,273,1.8,0.31,10
GOA,27,6.1,6.5,201,2,0.43,9
GOA,27.5,6.2,6.3,245,1.8,0.31,7
GOA,28.3,7,6.5,75,0.9,0.22,7
GOA,29,7.3,6,74,1.6,0.11,8
GOA,31,7.2,6.3,14100,1.6,0.41,13
GOA,29,5.5,7.8,401,1.3,0.21,2
GOA,30,6.2,6.9,11000,1.3,0.48,13
GOA,29,6.5,6.8,30190,2.3,0.04,5
GOA,24,8.1,7.7,7400,2.6,0.1,79
GOA,27,7.8,6.4,609,2.3,0.08,49
GOA,27,7.8,6.4,90,2,NAN,13
GOA,28,7.2,6.5,8240,1.6,0.25,17
GOA,27,4.2,7.6,5543,0.7,0.18,2
GOA,26,6.5,6.4,505,1.6,0.13,8
GOA,28,7.4,6.9,3844,2,0.15,5
GOA,28,5.4,7,7692,1.7,0.92,29
GOA,27,6.6,7.2,692,1.9,0.34,105
GOA,29,5.1,7.5,NAN,2.3,0.38,1201
GOA,29,7.3,6.8,20640,2.5,0.42,87
GOA,28,7.2,6.9,5350,2.2,0.28,134
GOA,28,7,6.8,4800,3,0.32,69
GUJARAT,27.1,7.3,7.9,693,0.5,1,161
GUJARAT,27.3,5,7.6,1676,1.8,8,329
GUJARAT,NAN,NAN,0,506,NAN,6,26
GUJARAT,24.5,6,7.7,1863,8.6,1,47
GUJARAT,NAN,NAN,NAN,24300,NAN,7,22474
GUJARAT,27.5,5.3,7.8,817,2.8,1,9
GUJARAT,28.3,4.3,7.8,2307,103.8,1.23,NAN
GUJARAT,28.4,4.5,8.3,1287,1.5,11,116
GUJARAT,NAN,NAN,NAN,NAN,NAN,0,NAN
GUJARAT,27.6,6.8,8.2,1862,2.5,0.87,7
GUJARAT,NAN,5,8,NAN,0.7,0,NAN
GUJARAT,NAN,3,7.7,NAN,0.4,0,NAN
GUJARAT,27,6.7,8.1,2520,7.2,1,6
GUJARAT,29,8.2,8.4,606,2.9,0,NAN
GUJARAT,28,7.2,7.4,319,0.7,0.18,5
GUJARAT,27,6.2,8.4,894,9,0.38,140
GUJARAT,30,2.2,8,1835,17.9,0.86,10478
GUJARAT,31,2,7.7,3165,32.3,3.44,11498
GUJARAT,29,2.4,7.6,1500,6.2,1.31,3
GUJARAT,27.6,7.1,7.3,212,1.4,0.84,3
GUJARAT,28.2,5,8.3,12771,4.1,1.48,7
GUJARAT,28,6.7,8,304,1.5,0.18,1500
GUJARAT,28.5,5.8,7.7,1315,2.5,0.22,1900
GUJARAT,29.5,5.9,7.6,36593,3.9,0.07,1200
GUJARAT,27,7.6,7.7,1291,10,0.34,23
GUJARAT,29.5,6,7.7,18865,3.6,3.12,900
GUJARAT,27,4.3,8.4,605,6.5,1.68,5
GUJARAT,26.7,3.7,8.2,600,4.3,1.66,6
GUJARAT,27,4.6,7.2,729,4,0.33,900
GUJARAT,26.8,6.2,8.4,2670,1.3,0.24,NAN
GUJARAT,26,5.1,8.1,533,3.7,0.45,3900
GUJARAT,27,7.1,8,555,2,0.35,7500
GUJARAT,27,6.8,8.2,26600,3.1,0.62,9000
GUJARAT,29.3,8.1,7.6,938,8.6,0.4,22
GUJARAT,28.4,6.2,7.8,7778,2.7,0.26,2880
GUJARAT,32,NAN,7.2,1440,46,0.2,80
GUJARAT,28.3,3.2,7.7,885,6.3,0.51,3900
GUJARAT,28,7.3,7.4,332,0.7,0.3,6
GUJARAT,29,6.5,7.5,21417,16.4,0.4,15
GUJARAT,30,5.7,8,601,7.4,0.5,14600
GUJARAT,30,4.7,8.3,753,3.7,0.5,9166
GUJARAT,28,5.8,7.8,16177,3,0.5,10100
GUJARAT,30,6.1,8.1,14921,3.2,0.3,4300
GUJARAT,30,0.6,7.1,3115,36.5,1.7,4450
GUJARAT,27,3.2,7.8,5073,5.8,0.2,833
GUJARAT,30,4.2,8.2,901,6.7,0.4,9750
GUJARAT,28,2.9,8.3,11405,5.6,0.1,49
GUJARAT,29,5,7.7,47156,3.1,0.1,41
HARYANA,NAN,NAN,NAN,NAN,NAN,NAN,NAN
HARYANA,NAN,NAN,8.2,NAN,19.8,0,NAN
HARYANA,NAN,NAN,7.9,NAN,18.2,0,NAN
HARYANA,NAN,NAN,7.2,NAN,88,0,NAN
HARYANA,NAN,NAN,6.9,910,13,0,NAN
HARYANA,NAN,NAN,6.5,930,15,0,NAN
HARYANA,NAN,5,7.3,NAN,33.9,0,NAN
HARYANA,NAN,NAN,6.7,960,18,0,NAN
HARYANA, ,6.8,8,414,3.1,0.88, 
HARYANA, ,6.4,7.9,1808,21,5.9, 
HARYANA, ,6.6,7.8,1302,18, , 
HARYANA, ,6.4,8,1286,19.5, , 
HARYANA,20,3.3,7.5,1630,185,1.75, 
HARYANA,NAN,6.9,7.8,440,3.4,1.21,NAN
HARYANA,17.7,6.1,6.8,780,14.7,NAN,NAN
HARYANA,17,6.1,6.8,773,14.7,NAN,NAN
HARYANA,17.3,6,7,820,15.3,NAN,NAN
HARYANA,18.3,3.1,7.8,1261,195.4,4.78,NAN
HARYANA,22,6.4,7.1,1085,8.5,8.1,NAN
HARYANA,20,5.6,8.1,905,11.5,7.1,NAN
HARYANA,28,1.9,8.4,2187,354,5.4,NAN
HARYANA,28,7,7.8,350,2.5,NAN,NAN
HARYANA,16,7.2,6.2,930,8,1.5,NAN
HIMACHAL PRADESH,23.6,7.8,7.8,376,1.3,0.4,9
HIMACHAL PRADESH,23.9,7.7,7.7,354,1.3,0.3,12
HIMACHAL PRADESH,24.5,7.6,7.9,344,1.6,0.4,12
HIMACHAL PRADESH,18.1,4.4,7.1,694,41,1.2,92
HIMACHAL PRADESH,20.3,7.1,7.5,293,1.3,0,9
HIMACHAL PRADESH,20.7,7.1,7.5,316,1.4,0,13
HIMACHAL PRADESH,20.8,6.6,7.5,274,1.6,0,14
HIMACHAL PRADESH,20.6,4.9,7.4,407,16.3,0,51
HIMACHAL PRADESH,20,7.7,7.4,344,1.2,0.37,9
HIMACHAL PRADESH,20,7.3,7,310,1.4,0.38,13
HIMACHAL PRADESH,20,7.1,7.7,303,1.5,0.34,13
HIMACHAL PRADESH,18,6.2,7.5,788,41.5,4.08,105
HIMACHAL PRADESH,21.4,8.3,7.6,334,1,0.49,9
HIMACHAL PRADESH,22.3,8.2,7.7,316,1.2,0.48,11
HIMACHAL PRADESH,22.8,8.3,7.6,304,1.2,0.51,12
HIMACHAL PRADESH,21.8,5.5,7.6,743,7.6,1.02,81
HIMACHAL PRADESH,22,5.475,7.82,721.5,6.9,1.26,87.25
JHARKHAND,26,7.9,7.8,196,0.8,NAN,NAN
JHARKHAND,29,9,8,269,1.8,NAN,NAN
JHARKHAND,28,NAN,8,698,NAN,NAN,NAN
JHARKHAND,30,9.6,7.6,633,NAN,NAN,NAN
JHARKHAND,27,3.2,6.8,389,26,NAN,NAN
JHARKHAND,28,5.5,7.5,375,24,NAN,NAN
JHARKHAND,19,5,3.2,630,7,2.5,27
JHARKHAND,26,7,7.8,122,0.65,NAN,NAN
JHARKHAND,26,7.2,7.8,130,0.93,0.1,NAN
JHARKHAND,25,6.6,8,151,0.98,NAN,NAN
JHARKHAND,25,6.7,7.9,188,1.03,NAN,NAN
JHARKHAND,28,6.1,7.7,120,1.36,NAN,264
JHARKHAND,29,5.4,7.3,141,2.67,0.08,285
JHARKHAND,28,5.8,7.8,161,2.93,0.1,518
JHARKHAND,NAN,NAN,7.6,253,NAN,2.8,NAN
JHARKHAND,25,7,7.7,448,0.4,0.2,17
JHARKHAND,25,4.8,7.5,20360,8.8,0.2,23
JHARKHAND,27,4.9,7.7,904,3.6,NAN,13950
JHARKHAND,28,6.4,8,477,2.4,NAN,12325
JHARKHAND,29,6.7,7.9,14111,2.9,NAN,10725
JHARKHAND,28,5.7,7.6,868,4.2,0.4,5
JHARKHAND,30,6.2,8,899,3.1,NAN,10275
JHARKHAND,26,4.8,7.6,14426,10.4,0.1,32
JHARKHAND,27,6.2,7.4,29920,3.6,0.2,14
JHARKHAND,27,NAN,7.5,5414,359,0.1,3
JHARKHAND,27,4.2,7.8,589,4,NAN,23575
JHARKHAND,30,6.8,7.5,2870,2.5,0.1,582
JHARKHAND,29,6.5,6.9,1690,1.5,0.1,555
JHARKHAND,29,6.5,7.1,3110,1.6,0.1,1243
JHARKHAND,29,6.4,7.7,44000,2.3,0.1,814
JHARKHAND,27,7.2,7.2,70,1.6,0.1,1554
JHARKHAND,28,7.2,6.8,60,2.1,0.1,5778
KARNATAKA,27.1,7.3,7.3,109,2.4,3.4,18
KARNATAKA,26.3,7.5,7.5,83,2.1,2,22
KARNATAKA,29.1,6.4,7.2,102,1,0,137
KARNATAKA,28.4,6.5,7.1,92,1,0,155
KARNATAKA,27.1,7.3,7.3,164,2.3,1,115
