STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml)
MAHARASHTRA,27,6.8,7.7,219,3.4,0.63,23
MAHARASHTRA,27,4.8,7.2,5429,8.4,2.08,177
MAHARASHTRA,23,6.4,8,493,4.2,3.91,17
MAHARASHTRA,29,6.8,7.6,100,3,0.54,124
MAHARASHTRA,29,6.7,7.5,316,4.6,0.6,47
MAHARASHTRA,28,5.8,7.9,37227,9.5,1.42,231
MAHARASHTRA,29,6.9,7.7,84,3.1,0.42,69
MAHARASHTRA,25,4.9,7.6,21254,55.5,2.18,560
MAHARASHTRA,28,6.9,7.9,312,2.7,1.58,4
MAHARASHTRA,29,6.8,7.5,146,3,0.6,124
MAHARASHTRA,29,6.7,7.3,127,2.9,0.59,100
MAHARASHTRA,29,5.6,6.9,432,4.5,1.72,58
MAHARASHTRA,29,6.5,7.3,126,3,0.59,132
MAHARASHTRA,30,7.1,7.5,128,3,0.6,136
MAHARASHTRA,30,6.4,7.3,129,3.1,0.6,68
MAHARASHTRA,29,6.9,7.7,129,2.9,0.55,135
MAHARASHTRA,25,7,7.9,153,2.9,0.55,30
MAHARASHTRA,30,6.4,7.6,10165,3.7,2.14,5
MAHARASHTRA,30,6.9,7.7,307,2.8,3.6,4
MAHARASHTRA,31,6.3,7.7,322,3.5,1.1,4
MAHARASHTRA,30,6.5,7.5,5835,3.4,1.72,4
MAHARASHTRA,30,6.3,7.4,9245,4.7,2,4
MAHARASHTRA,28,6.5,8.1,1907,4,0.55,46
MAHARASHTRA,28,7,8,1896,3.5,0.64,190
MAHARASHTRA,28,7,8,206,2.9,0.56,31
MAHARASHTRA,27,6.8,7.8,239,3.3,0.56,33
MAHARASHTRA,27,6.4,7.6,152,3.2,0.96,62
MAHARASHTRA,26,6.7,7.7,146,3,0.89,30
MAHARASHTRA,27,6.7,7.6,137,2.9,0.76,24
MAHARASHTRA,28,6.6,7.8,228,3.5,0.57,30
MAHARASHTRA,23,7,7.7,409,2.4,0.93,4
MAHARASHTRA,22,6.8,7.6,263,2.9,0.81,4
MAHARASHTRA,23,6.9,7.5,338,2.3,3.93,4
MAHARASHTRA,28.2,7.1,7.9,108,3.3,0.42,65
MAHARASHTRA,NAN,7.1,7.7,111,4.4,0.32,NAN
MAHARASHTRA,27.4,7,8,129,3.5,0.49,40
MAHARASHTRA,27.3,7,8,130,3.3,0.46,33
MAHARASHTRA,28.5,5.7,7.4,2323,6.3,1.47,400
MAHARASHTRA,28.4,5.9,7.6,462,4.9,2.47,23
MAHARASHTRA,28.4,7,7.7,107,3.8,0.4,131
MAHARASHTRA,28.9,6.2,7.4,299,5.1,0.95,209
MAHARASHTRA,28.2,5.9,7.8,33259,6.8,1.61,114
MAHARASHTRA,28.9,7.2,7.9,77,3.2,0.42,164
MAHARASHTRA,27,3.2,7.4,28018,46,1.67,908
MAHARASHTRA,27.9,6.8,7.8,350,2.6,1.99,2
MAHARASHTRA,26.8,6.9,7.5,133,3.2,0.55,252
MAHARASHTRA,27.2,6.9,7.5,143,3.4,0.54,149
MAHARASHTRA,26.8,6.1,6.9,609,4.2,3.1,65
MAHARASHTRA,26.9,6.8,7.4,129,3.2,0.86,51
MAHARASHTRA,26.8,6.7,7.4,130,3.2,0.75,45
MAHARASHTRA,26.9,6.6,7.4,130,5,0.74,67
MAHARASHTRA,26.9,6.7,7.5,120,3.6,0.73,85
MAHARASHTRA,26.2,7.1,7.9,139,3.2,0.45,74
MAHARASHTRA,27.4,6,7.4,13925,59.1,3.08,4
MAHARASHTRA,26.4,6.7,7.7,274,2.3,2.04,5
MAHARASHTRA,26.7,6.3,7.9,326,2.5,2.32,2
MAHARASHTRA,27.3,6.3,7.9,7392,2.4,6.41,4
MAHARASHTRA,27.4,6.3,7.7,12051,4.4,5.37,4
MAHARASHTRA,27.6,7,8.3,162,3.8,0.48,44
MAHARASHTRA,27.5,7,8.3,212,3.6,0.44,47
MAHARASHTRA,27.5,7.1,8.3,227,3.2,0.48,67
MAHARASHTRA,26.9,6.8,8.2,314,4.3,0.45,28
MAHARASHTRA,25.9,6.8,7.8,151,3.4,0.5,601
MAHARASHTRA,25.9,7,7.8,123,3.4,0.44,42
MAHARASHTRA,26,6.9,7.8,139,3.3,0.76,85
MAHARASHTRA,26.9,6.8,8.2,313,4,0.49,49
MAHARASHTRA,24.8,6.7,7.8,215,2.5,0.83,2
MAHARASHTRA,26.2,6.7,7.8,204,2.5,0.77,2
MAHARASHTRA,25.3,6.9,7.7,205,2.2,0.93,2
MAHARASHTRA,28,5.5,7.7,8092,7.6,0.72,410
MAHARASHTRA,29,6.9,7.6,136,3.8,0.26,143
MAHARASHTRA,29,6.9,7.7,120,3.9,0.37,207
MAHARASHTRA,28,6.7,8,111,3.6,0.31,45
MAHARASHTRA,26,6.9,7.3,229,3.8,0.68,108
MAHARASHTRA,29,6.8,7.5,171,3.8,0.34,88
MAHARASHTRA,29,6.9,7.3,183,2.2,1.25,2
MAHARASHTRA,34,3.3,7.6,29464,19.4,1.78,1195
MAHARASHTRA,32,5.4,7.2,925,11.7,0.78,279
MAHARASHTRA,22,6.2,7.2,13848,2.5,4.11,6
MAHARASHTRA,26,7,7.4,225,3.8,0.26,152
MAHARASHTRA,35,6.6,8.1,102,3.9,0.26,165
MANIPUR,28,8.5,7.5,166,2.7,NAN,NAN
MANIPUR,29,8.9,7,125,1.9,NAN,NAN
MANIPUR,30,8,7.8,144,2.1,NAN,NAN
MANIPUR,30,7.5,7.7,87,1.2,NAN,NAN
MANIPUR,28,8.5,7.6,84,2,NAN,NAN
MANIPUR,29,8.4,7.5,103,1.9,NAN,NAN
MANIPUR,30,8.7,7.2,117,3.2,NAN,NAN
MANIPUR,29,6.5,7.7,287,8.2,NAN,NAN
MANIPUR,28,8.6,7.5,130,4.6,NAN,NAN
MANIPUR,28,8.9,7.5,109,1.2,NAN,NAN
MANIPUR,30,9.8,8.4,246,1.2,NAN,NAN
MANIPUR,28,7.6,7.5,147,1.3,NAN,NAN
MANIPUR,29,8.7,7.6,202,1.2,NAN,NAN
MANIPUR,28,8.4,7.4,177,2.4,NAN,NAN
MANIPUR,29,8.7,7.6,203,2.5,NAN,NAN
MANIPUR,32,8.2,7.4,120,1.9,NAN,NAN
MANIPUR,32,8,7.2,110,1.4,NAN,NAN
MANIPUR,30,8.4,7.6,213,1.5,NAN,NAN
MANIPUR,29,9.4,7.8,174,1,NAN,NAN
MANIPUR,31,8.1,8,244,2.4,NAN,NAN
MANIPUR,29,8.1,8,162,1.8,NAN,NAN
MANIPUR,30,8.7,7.6,163,2.6,NAN,NAN
MANIPUR,29,8.7,7.6,143,1.9,NAN,NAN
MANIPUR,30,9.2,7.6,208,1.9,NAN,NAN
MANIPUR,29,8.3,7.7,158,2,NAN,NAN
MANIPUR,29,5.9,7.1,338,6.6,NAN,NAN
MANIPUR,30,4.3,7.4,269,12.3,NAN,NAN
MANIPUR,29,8.2,7.1,109,3.3,NAN,NAN
MANIPUR,28,11.1,7.6,131,3.6,NAN,NAN
MANIPUR,29,7.4,7.1,116,2.7,NAN,NAN
MANIPUR,28,8.2,7.6,112,2.1,NAN,NAN
MANIPUR,29,8.5,7.5,169,3.6,NAN,NAN
MANIPUR,28,11.4,7.2,128,1,NAN,NAN
MANIPUR,29,8.9,7.6,221,1.7,NAN,NAN
MANIPUR,30,9.3,7.6,193,2.3,NAN,NAN
MANIPUR,28,9.1,7.3,217,3.9,NAN,NAN
MANIPUR,28,7.9,7.3,131,0.8,NAN,NAN
MANIPUR,29,8.7,7.4,176,2.2,NAN,NAN
MANIPUR,30,8.1,7.3,199,2.2,NAN,NAN
MANIPUR,30,8.2,7.4,170,2.2,NAN,NAN
MANIPUR,19,8.7,7.1,252,4.9,NAN,NAN
MANIPUR,26,5.1,7.2,17,1,NAN,NAN
MANIPUR,19,10,7.4,157,0.6,NAN,NAN
MANIPUR,21.8,5.9,7,164,1.6,NAN,NAN
MANIPUR,22.3,6.1,7.3,141,1.4,NAN,NAN
MANIPUR,22.3,5.6,7.1,427,1.4,NAN,NAN
MANIPUR,22.3,4.7,7,527,1.9,NAN,NAN
MANIPUR,23,5.5,8.6,116,4.5,NAN,NAN
MANIPUR,23,6.8,6.8,160,1.5,NAN,NAN
MANIPUR,23,7,7.4,47,1,NAN,NAN
MANIPUR,23,7.3,7.8,116,1.2,NAN,NAN
MANIPUR,22,5.5,7.3,179,1.2,NAN,NAN
MANIPUR,22.3,4.7,7.4,220,1.6,NAN,NAN
MANIPUR,27,4.9,7,180,1.2,NAN,NAN
MANIPUR,30,5.8,7.8,367,6.2,NAN,NAN
MANIPUR,23,5.8,7.4,249,1,NAN,NAN
MANIPUR,23,6.2,6.9,182,2.1,NAN,NAN
MANIPUR,22.7,5.5,7.7,356,1.2,NAN,NAN
MANIPUR,23,5.1,6.9,190,2.3,NAN,NAN
MANIPUR,23.5,5.2,7.1,164,2.8,NAN,NAN
MANIPUR,23,4.6,7,188,2.8,NAN,NAN
MANIPUR,23.5,5.6,6.6,165,1.9,NAN,NAN
MANIPUR,23,1.9,6.8,484,15.3,NAN,NAN
MANIPUR,23,2.5,7.1,424,16.7,NAN,NAN
MANIPUR,22.5,5.5,6.9,118,2.8,NAN,NAN
MANIPUR,23,6,7,100,4.2,NAN,NAN
MANIPUR,22.5,4.9,6.9,93,3.6,NAN,NAN
MANIPUR,20,4.8,7,167.1,2.8,NAN,NAN
MANIPUR,22.7,5.4,7.2,211,1.1,NAN,NAN
MANIPUR,26,6,7.5,231,1.1,NAN,NAN
MANIPUR,19,5.6,7.1,319,4.4,NAN,NAN
MANIPUR,22.5,5.7,6.9,261,2.3,NAN,NAN
MANIPUR,18.9,9.9,7.1,163,1,NAN,NAN
MANIPUR,21,6.1,7.6,163,4.5,NAN,NAN
MANIPUR,22.5,5.1,6.9,170,2.5,NAN,NAN
MANIPUR,23,3.8,7,192,3,NAN,NAN
MANIPUR,23,7.6,7.5,307,1.5,NAN,NAN
MANIPUR,23,8.4,7.4,106,1.4,NAN,NAN
MANIPUR,23,9,7.8,221,1.3,NAN,NAN
MANIPUR,25,8.7,7.4,318,1.5,NAN,NAN
MANIPUR,25,1.9,7.3,537,9.9,NAN,NAN
MANIPUR,25,7.7,7.3,550,10.4,NAN,NAN
MANIPUR,25,7.9,7.6,185,1.3,NAN,NAN
MANIPUR,26,8,7.6,202,2.5,NAN,NAN
MANIPUR,25,7.4,7.6,214,1.8,NAN,NAN
MANIPUR,23,8.3,7.7,185,2,NAN,NAN
MEGHALAYA,25.5,7.2,7.5,119,2.3,3.8,33
MEGHALAYA,25.1,7.2,7.5,120,2.3,4.1,31
MEGHALAYA,25.2,7.5,7.3,82,1.8,2.8,30
MEGHALAYA,23.2,7.5,7.5,111,2.4,3,293
MEGHALAYA,20.1,5.3,3.3,831,7.7,3.2,18
MEGHALAYA,18.3,7.2,7.2,56,1.7,2.6,21
MEGHALAYA,19.3,7.5,7.2,66,1.6,2.5,22
MEGHALAYA,24,7.8,7,74,2.3,4.3,28
MEGHALAYA,20.5,6.7,2.7,1350,3.3,1.1,7
MEGHALAYA,21.2,7.3,6.6,274,2.5,2.4,176
MEGHALAYA,26.3,7.4,7.3,67,1.8,2.5,25
MEGHALAYA,25.5,7.2,7.4,82,2,2.8,26
MEGHALAYA,20,7.3,7.1,55,1.9,2.5,24
MEGHALAYA,20.3,7.3,7.1,57,2,2.4,24
MEGHALAYA,19.4,6.6,7.1,114,2.6,2.8,2142
MEGHALAYA,21,7.3,5.6,56,1.8,2.1,16
MEGHALAYA,19.2,5.1,7,105,3.6,4.7,351
MEGHALAYA,18.3,7.3,7.1,51,1.6,2.4,19
MEGHALAYA,19.6,7.7,7.2,50,1.6,2,19
MEGHALAYA,23.7,7.6,7.3,115,2.1,3.7,301
MEGHALAYA,18.2,6.2,7,81,2.4,5.1,36
MEGHALAYA,18.8,7.2,7.1,66,1.9,3.4,28
MEGHALAYA,18.9,7.4,7.1,57,1.5,2.9,13
MEGHALAYA,25.1,7.5,7.4,144,1.7,3.5,26
MEGHALAYA,18.8,7.1,7.1,63,1.9,5.6,22
MEGHALAYA,20.2,7.3,7.2,65,1.9,3.3,24
MEGHALAYA,20,7.3,7.3,65,2,3,25
MEGHALAYA,18.5,1.5,6.9,345,33.9,16.9,23232
MEGHALAYA,18.8,3.9,7.1,233,17,10.5,13174
MEGHALAYA,18.3,1,7.2,376,57.2,20.3,48665
MEGHALAYA,18.5,0.9,7.2,506,61.1,19.6,64250
MEGHALAYA,18.2,7.2,7,66,1.9,3.7,28
MEGHALAYA,22.1,7.7,7.2,62,1.6,3,27
MEGHALAYA,17.6,7.3,6.9,61,2.2,2,25
MEGHALAYA,18.7,1.2,7.1,380,45.7,15.6,51583
MEGHALAYA,18.7,3.2,7.1,258,23.5,10.3,31833
MEGHALAYA,23.1,7.2,7.2,124,6.9,4.5,348
MEGHALAYA,22.6,7.2,7.1,65,2.1,2.4,56
MEGHALAYA,20,7.5,7.3,64,1.9,3.3,21
MEGHALAYA,19.9,7.6,7.3,65,1.9,3.8,21
MEGHALAYA,24.4,7.2,7.3,99,2.2,1,26
MEGHALAYA,23.7,7.2,7.4,102,2.2,1,25
MEGHALAYA,24.6,7.6,7.2,72,1.8,2.56,24
MEGHALAYA,23.1,7.1,7.5,131,2.2,3.2,239
MEGHALAYA,21.7,5.2,2.9,682,7.8,1.5,16
MEGHALAYA,18.2,7.3,7.1,47,1.3,2,15
MEGHALAYA,18.8,7.6,7.2,52,1.2,2,16
MEGHALAYA,23.8,8,6.9,64,1.8,3.38,23
MEGHALAYA,17.8,7.9,7.3,46,1.4,1,12
MEGHALAYA,18.7,7.4,7.2,53,1.9,3,14
MEGHALAYA,18.8,7.7,7.2,55,1.6,3,15
MEGHALAYA,21.3,6.8,2.7,1074,3.2,2.33,4
MEGHALAYA,22.6,7.1,6.5,237,3.8,4.56,674
MEGHALAYA,25.2,7.8,7.2,50,1.6,1.77,20
MEGHALAYA,24.8,7.3,7.3,71,2,2.66,21
MEGHALAYA,19.9,7.3,7,91,1.8,3.3,20
MEGHALAYA,20.7,7.4,7.1,49,1.7,2.44,19
MEGHALAYA,20.6,6.5,7.1,99,2.7,3.56,1967
MEGHALAYA,21.5,7.5,5.7,50,1.5,2.21,10
MEGHALAYA,17.7,5.8,6.9,68,3.1,4.9,197
MEGHALAYA,17.9,6.9,7.2,44,1.4,2.66,14
MEGHALAYA,23.9,7.8,7.3,93,1.9,2.99,264
MEGHALAYA,18,6.6,7,66,2.3,4,29
MEGHALAYA,18.4,7.6,7.1,53,1.7,3,23
MEGHALAYA,18.8,7.8,7,47,1.4,2,8
MEGHALAYA,24.8,7.7,7.4,128,1.6,3.32,25
MEGHALAYA,19.3,7.1,7,54,1.8,2.58,20
MEGHALAYA,20.6,7.4,7,69,1.6,3.3,17
MEGHALAYA,20.7,7.5,7.2,58,1.6,2.25,21
MEGHALAYA,18.4,3.1,7.2,401,21.8,19,22556
MEGHALAYA,19.1,4.7,7.2,202,13.6,15,13444
MEGHALAYA,19.7,2.1,7.2,303,37.2,18.2,39444
MEGHALAYA,20.1,1.8,7.2,394,40.6,15.4,57222
MEGHALAYA,17.6,7.2,6.9,55,1.7,3.04,26
MEGHALAYA,22.7,7.9,7.1,55,1.2,3.55,23
MEGHALAYA,17.9,6.9,6.9,52,2.2,3.48,1576
MEGHALAYA,18.9,1.9,7,306,34.2,17.9,48278
MEGHALAYA,19.4,4.5,7.1,196,15.5,11,48611
MEGHALAYA,23.7,7.2,7.1,107,6.7,5.56,303
MEGHALAYA,22.7,7.5,7,82,2.1,3.02,45
MEGHALAYA,25,7.7,7.2,95,1.8,2.67,22
MEGHALAYA,25,7.6,7.2,92,2.5,2.41,20
MEGHALAYA,25,9.9,7.2,65,1.5,2.31,21
MEGHALAYA,24,7.6,7.4,93,2.1,2.89,276
MEGHALAYA,22,5.5,2.9,568,6.8,1.12,18
MEGHALAYA,16,7.6,7,42,1.3,3.01,11
MEGHALAYA,17,7.7,7.1,45,1.4,2.89,9
MEGHALAYA,23,8.3,7,59,1.7,2.86,16
MEGHALAYA,25,6.9,2.6,1072,3.2,1.17,3
MEGHALAYA,25,7.7,6.3,250,2.1,3.88,180
MEGHALAYA,25,8.8,7.3,37,1.5,1.62,15
MEGHALAYA,25,7.3,7.3,72,2,1.65,17
MEGHALAYA,20,7.5,7,38,1.7,2.2,18
MEGHALAYA,22,7.8,7.1,44,1.6,2.62,15
MEGHALAYA,20,7,7,100,2.4,3.03,1967
MEGHALAYA,21,7.5,6.3,52,1.7,0.82,7
MEGHALAYA,16,6.4,6.9,61,2.6,3.88,227
MEGHALAYA,17,7.5,7.1,39,1.4,2.88,12
MEGHALAYA,17,8,7.1,41,1.4,3.35,10
MEGHALAYA,24,7.9,7.3,93,1.7,5.02,295
MEGHALAYA,18,7.5,6.9,69,1.9,4.92,20
MEGHALAYA,18,7.9,7.2,46,1.7,2.72,20
MEGHALAYA,18,8,7.2,42,1.4,2.47,5
MEGHALAYA,25,7.7,7.1,101,1.5,3.42,16
MEGHALAYA,19,7.2,7.1,49,1.6,2.86,17
MEGHALAYA,21,8.2,7.1,49,1.2,2.81,15
MEGHALAYA,21,7.8,7.1,58,1.5,2.97,19
MEGHALAYA,18,3.9,7.1,235,16.9,16.61,16500
MEGHALAYA,18,4.9,7.1,182,14.2,11.61,10417
MEGHALAYA,19,2.7,7.1,281,35.4,14.84,41000
MEGHALAYA,19,2.5,7.1,382,37.2,11.81,53083
MEGHALAYA,18,8,7,48,1.4,3.8,17
MEGHALAYA,24,8.4,7.1,48,1.2,3.08,18
MEGHALAYA,17,6.8,6.6,49,1.9,3.07,18
MEGHALAYA,18,2.1,7,286,45.6,10.61,51250
MEGHALAYA,19,4,7.1,194,22.4,10.47,29500
MEGHALAYA,24,7.7,7.2,107,6.6,3.02,285
MEGHALAYA,22,7.6,7.1,51,2,2.6,37
MEGHALAYA,20,7.7,7.1,46,1.6,3.93,8
MEGHALAYA,20,7.7,7.1,49,1.9,3.89,11
MEGHALAYA,24.4,7.8,7.2,139,1.9,0.56,263
MEGHALAYA,21.8,6.5,3.1,489,6.1,0.52,32
MEGHALAYA,20.8,7.3,7,162,2.2,0.69,2085
MEGHALAYA,25.2,7.8,7.1,136,1.9,0.52,303
MEGHALAYA,24,7.7,7.1,205,7,0.84,303
MEGHALAYA,18,9.6,7.1,225,4.4,3,310
MEGHALAYA,19,8.8,7.2,131,0.9,NAN,NAN
MEGHALAYA,21,6.4,7.025,187.63,3.175,2.675,2225
MEGHALAYA,25,8.35,7.125,110.75,1.525,3.075,252.5
MEGHALAYA,24,8.45,6.95,104.25,1.2,2.6,222.5
MIZORAM,24.5,7.1,7.3,269,1.4,0.1,NAN
MIZORAM,24.4,7.2,7.3,275,1.5,0.1,4
MIZORAM,23.6,6.9,7.1,186,1.6,0.1,NAN
MIZORAM,23.5,6.8,7.1,201,1.4,0.2,NAN
MIZORAM,23.6,7.1,7.5,189,1.9,1,NAN
MIZORAM,23.8,7,7.6,197,1.8,1,NAN
MIZORAM,23.5,7.2,7.9,158,1.9,0.95,NAN
MIZORAM,23.5,6.5,7.8,161,1.8,0.99,NAN
MIZORAM,24,6.5,7.4,297,1,0.13,26
MIZORAM,24,6.3,7.5,287,0.9,0.14,5
MIZORAM,24,6.5,7.2,375,1.1,0.17,33
MIZORAM,24,6.9,6.9,349,1.1,0.18,38
MIZORAM,23.4,8.1,7.1,267,1,0.11,2
MIZORAM,23.4,8,7,278,1.1,0.11,3
MIZORAM,23.2,6.9,7.2,268,1.1,0.11,6
MIZORAM,23.3,6.8,7.1,286,1.3,0.11,8
MIZORAM,25,8.23,7.38,143,1.55,3.55,255
MIZORAM,22,6.6,7.3,210,1.3,NAN,8.5
MIZORAM,22,6.8,7.2,220,1.5,NAN,NAN
MIZORAM,23,6.8,7,317,1.5,NAN,8
MIZORAM,24,7.4,7.8,272,0.9,NAN,8
MIZORAM,24,7.5,7.8,327,1.2,NAN,0
MIZORAM,26,8.1,7.8,365,1.3,NAN,13
MIZORAM,26,7.9,7.5,350,1.8,NAN,41
MIZORAM,26,7.1,6.1,34,0.6,0.5,1300
MIZORAM,26,5.9,6.2,52,0.5,0.6,1100
MIZORAM,26,5.1,6.2,55,1.1,0.4,1275
MIZORAM,26,6.7,6.2,43,0.7,0.4,1325
MIZORAM,26,5.8,6.2,34,0.6,0.3,975
MIZORAM,26,6.4,6.2,39,0.7,0.4,1375
MIZORAM,26,6.6,6.3,41,0.6,0.3,1033
MIZORAM,26,5.4,6.2,47,0.7,0.5,1250
MIZORAM,28,6.7,6.7,80,1.3,0.5,1655
MIZORAM,27,6.4,7,112,1.4,0.7,3850
MIZORAM,29,6.3,7.1,83,1,0.4,643
MIZORAM,28,6.2,6.5,95,0.8,1.2,1075
MIZORAM,28,6.9,6.4,41,0.5,0.2,83
MIZORAM,27,6.8,6.5,51,0.5,0.2,98
MIZORAM,28,6.6,6.9,11654,0.7,0.3,338
MIZORAM,28,7,7.2,11962,0.3,0.3,68
MIZORAM,28,7.5,6.9,52,0.5,0.2,138
MIZORAM,28,7.4,6.8,68,0.3,0.2,160
MIZORAM,29,2.8,6.6,1239,2.3,0.6,263
MIZORAM,28,6.2,7.6,380,0.5,0.5,1318
MIZORAM,30,7.9,7.9,382,2.1,0.21,993
MIZORAM,28,8.1,8,21030,1.7,0.51,146
MIZORAM,30,7.2,7.7,244,1.2,0.51,980
MIZORAM,32,6.7,7.6,231,1.5,0.56,1460
MIZORAM,29,7,8.1,637,3.5,1.2,NAN
MIZORAM,26,7.5,6.5,65,1,0.15,108
MIZORAM,28,6.8,6.5,88,0.9,0.11,111
MIZORAM,29,6.8,6.5,128,1.8,0.15,295
MIZORAM,32,7.8,7.2,250,1.9,0.15,128
MIZORAM,28,7.2,6.4,71,1.2,0.12,67
MIZORAM,27,7.4,6.5,71,1.5,0.12,98
MIZORAM,31,7.6,7.1,428,2.5,0.15,226
MIZORAM,28,6.8,7.2,856,2.1,0.32,213
MIZORAM,27,7.3,7.3,152,2,1.28,333
MIZORAM,28,6.9,7.2,58,1,NAN,14
MIZORAM,29,7,7.2,56,1,NAN,4
MIZORAM,22,7.9,7.9,385,2.5,0.25,11
MIZORAM,18,3.9,7.9,2422,74.8,0.78,NAN
MIZORAM,24,4.9,7.6,972,19.6,1.8,328
MIZORAM,20,7.4,7.5,413,2.1,1.23,1663
MIZORAM,21,6.1,7.8,632,8.1,2.9,37250
MIZORAM,24,4.9,8.1,852,26.3,18.1,NAN
MIZORAM,26,4.5,8.3,996,25.3,15.8,NAN
MIZORAM,21,6.7,7.6,425,7.4,2.88,22250
MIZORAM,21,6.3,7.7,619,7.3,3.28,28250
MIZORAM,22,6.4,7.7,439,4.2,2.2,60275
NAGALAND,28,7.4,150,6.3,6,0.614,0.614
NAGALAND,26,7.4,139,5.8,5.9,0.453,0.453
NAGALAND,21,7.3,111,7.1,2.4,NAN,NAN
NAGALAND,21,7.4,74,7.5,1.2,NAN,NAN
NAGALAND,21,7.5,77,7.4,3.2,NAN,NAN
NAGALAND,21,7.3,97,7.3,1.9,NAN,NAN
NAGALAND,21,7.4,121,7.5,2.7,NAN,NAN
NAGALAND,21,7.4,142,6.7,1.3,NAN,NAN
NAGALAND,23,7.3,112,8.1,17.2,NAN,NAN
NAGALAND,21,7.5,124,3.7,18.5,NAN,NAN
NAGALAND,20,6.9,223,6.3,6.8,NAN,NAN
NAGALAND,17,3.1,493,5.8,5.9,NAN,NAN
NAGALAND,15,6.9,142,7.3,2.2,NAN,NAN
NAGALAND,20,6.9,145,7.8,1.8,NAN,NAN
NAGALAND,21,7,145,7.3,2.3,NAN,NAN
NAGALAND,30,8.1,569,8.2,1.6,1.028,1.028
NAGALAND,27,7.7,28598,7.7,1.7,0.962,0.962
NAGALAND,30,7.4,219,6.8,3,0.964,0.964
NAGALAND,29,7.2,198,7.2,2.1,1.03,1.03
NAGALAND,29,8,978,5.4,9,1.24,1.24
NAGALAND,21,7.6,203,6.3,1.9,0.107,0.107
NAGALAND,29,7.2,150,7.5,1.3,0.142,0.142
NAGALAND,31,7.3,178,6.7,1.5,0.138,0.138
NAGALAND,29,7.1,214,6.8,2.3,0.585,0.585
NAGALAND,NAN,7.5,293,7.2,1.2,0.568,0.568
NAGALAND,28,6.9,146,7.1,2,0.506,0.506
NAGALAND,28,7,136,7.5,1.4,0.609,0.609
NAGALAND,NAN,7.9,738,7.2,2.7,0.518,0.518
NAGALAND,29,7.5,585,6.3,2.6,0.155,0.155
NAGALAND,28,7.6,98,6.2,1.2,NAN,NAN
NAGALAND,28,7.7,91,6.5,1.3,NAN,NAN
NAGALAND,29,7.6,110,5.7,1.1,NAN,NAN
NEW DELHI,26.667,6.333,7.277,542,5.4,7.187,15
NEW DELHI,26.714,6.471,7.379,204.3,3.729,0.309,10
NEW DELHI,28.286,6.371,7.061,214,4.5,0.346,18
NEW DELHI,19.333,6.7,7.44,153.3,4.4,0.65,23
NEW DELHI,29.083,6.2,6.457,881.1,1.757,0.326,253
NEW DELHI,27.417,7.286,6.586,82.9,1.071,0.233,222
NEW DELHI,27.286,6.525,6.5,124.1,1.313,0.227,334
NEW DELHI,28.6,6.917,6.95,185.4,0.467,0.112,165
NEW DELHI,28.667,6.8,7.043,8489.9,0.414,0.153,238
NEW DELHI,27.786,7.075,7.25,107.3,0.988,0.369,238
NEW DELHI,28.143,7.013,6.712,151.4,1.4,0.397,262
NEW DELHI,27.5,6.787,6.65,119.3,1.637,0.4,294
NEW DELHI,28.571,4.1,6.775,511.4,6.788,1.373,2150
NEW DELHI,27,6.9,6.8,224,0.733,0.438,2000
NEW DELHI,26.5,6.867,6.833,292.7,0.633,0.575,1900
NEW DELHI,26.25,6.467,6.6,240,1.033,0.66,2100
NEW DELHI,26.75,6.667,6.933,268,0.933,0.893,2333
NEW DELHI,26.75,6.967,6.933,268,0.833,0.4,1600
NEW DELHI,26.5,6.733,6.867,324,0.933,0.455,1973
NEW DELHI,27,6.714,6.957,143.4,0.671,0.449,1457
NEW DELHI,26.75,6.733,6.733,242.7,0.9,0.743,1867
NEW DELHI,28,7.233,6.867,75.7,1.1,0.853,1600
NEW DELHI,27,6.233,6.9,104.7,0.867,1.267,1300
NEW DELHI,28.5,6.867,7.067,336.7,0.533,0.285,60
NEW DELHI,28.5,6.433,6.667,339.3,0.6,0.292,440
NEW DELHI,29,7.033,6.533,141.3,0.533,0.135,193
NEW DELHI,28.75,6.633,7.067,237,0.633,0.45,337
NEW DELHI,28,6.833,7,18389,0.7,0.345,173
